# QGIS Generated Color Map Export File
INTERPOLATION:DISCRETE
0 255 245 240 255 0
0.00793651 255 245 240 255 0.00793651
0.008 255 245 240 255 0.008
0.00806452 255 245 240 255 0.00806452
0.00813008 255 245 240 255 0.00813008
0.00819672 255 245 240 255 0.00819672
0.00826446 255 245 240 255 0.00826446
0.00833333 255 245 240 255 0.00833333
0.00840336 255 245 240 255 0.00840336
0.00847458 255 245 240 255 0.00847458
0.00854701 255 245 240 255 0.00854701
0.00862069 255 245 239 255 0.00862069
0.00869565 255 245 239 255 0.00869565
0.00877193 255 245 239 255 0.00877193
0.00884956 255 245 239 255 0.00884956
0.00892857 255 245 239 255 0.00892857
0.00900901 255 244 239 255 0.00900901
0.00909091 255 244 239 255 0.00909091
0.00917431 255 244 239 255 0.00917431
0.00925926 255 244 239 255 0.00925926
0.00934579 255 244 239 255 0.00934579
0.00943396 255 244 239 255 0.00943396
0.00952381 255 244 239 255 0.00952381
0.00961538 255 244 239 255 0.00961538
0.00970874 255 244 239 255 0.00970874
0.00980392 255 244 239 255 0.00980392
0.00990099 255 244 239 255 0.00990099
0.01 255 244 239 255 0.01
0.010101 255 244 239 255 0.010101
0.0102041 255 244 239 255 0.0102041
0.0103093 255 244 239 255 0.0103093
0.0104167 255 244 239 255 0.0104167
0.0105263 255 244 238 255 0.0105263
0.0106383 255 244 238 255 0.0106383
0.0107527 255 244 238 255 0.0107527
0.0108696 255 244 238 255 0.0108696
0.010989 255 244 238 255 0.010989
0.0111111 255 244 238 255 0.0111111
0.011236 255 244 238 255 0.011236
0.0113636 255 244 238 255 0.0113636
0.0114943 255 244 238 255 0.0114943
0.0116279 255 244 238 255 0.0116279
0.0117647 255 244 238 255 0.0117647
0.0119048 255 244 238 255 0.0119048
0.0120482 255 244 238 255 0.0120482
0.0121951 255 244 238 255 0.0121951
0.0123457 255 243 238 255 0.0123457
0.0125 255 243 238 255 0.0125
0.0126582 255 243 238 255 0.0126582
0.0128205 255 243 238 255 0.0128205
0.012987 255 243 238 255 0.012987
0.0131579 255 243 238 255 0.0131579
0.0133333 255 243 238 255 0.0133333
0.0135135 255 243 237 255 0.0135135
0.0136986 255 243 237 255 0.0136986
0.0138889 255 243 237 255 0.0138889
0.0140845 255 243 237 255 0.0140845
0.0142857 255 243 237 255 0.0142857
0.0144928 255 243 237 255 0.0144928
0.0147059 255 243 237 255 0.0147059
0.0149254 255 243 237 255 0.0149254
0.0151515 255 243 237 255 0.0151515
0.0153846 255 243 237 255 0.0153846
0.015625 255 243 237 255 0.015625
0.015873 255 243 237 255 0.015873
0.016 255 243 237 255 0.016
0.016129 255 243 237 255 0.016129
0.0162602 255 243 237 255 0.0162602
0.0163934 255 243 237 255 0.0163934
0.0165289 255 243 237 255 0.0165289
0.0166667 255 243 237 255 0.0166667
0.0168067 255 243 237 255 0.0168067
0.0169492 255 243 237 255 0.0169492
0.017094 255 243 237 255 0.017094
0.0172414 255 243 237 255 0.0172414
0.0173913 255 243 236 255 0.0173913
0.0175439 255 242 236 255 0.0175439
0.0176991 255 242 236 255 0.0176991
0.0178571 255 242 236 255 0.0178571
0.018018 255 242 236 255 0.018018
0.0181818 255 242 236 255 0.0181818
0.0183486 255 242 236 255 0.0183486
0.0185185 255 242 236 255 0.0185185
0.0186916 255 242 236 255 0.0186916
0.0188679 255 242 236 255 0.0188679
0.0190476 255 242 236 255 0.0190476
0.0192308 255 242 236 255 0.0192308
0.0194175 255 242 236 255 0.0194175
0.0196078 255 242 236 255 0.0196078
0.019802 255 242 236 255 0.019802
0.02 255 242 236 255 0.02
0.020202 255 242 236 255 0.020202
0.0204082 255 242 236 255 0.0204082
0.0206186 255 242 236 255 0.0206186
0.0208333 255 242 236 255 0.0208333
0.0210526 255 242 236 255 0.0210526
0.0212766 255 242 235 255 0.0212766
0.0215054 255 242 235 255 0.0215054
0.0217391 255 242 235 255 0.0217391
0.021978 255 242 235 255 0.021978
0.0222222 255 242 235 255 0.0222222
0.0224719 255 242 235 255 0.0224719
0.0227273 255 242 235 255 0.0227273
0.0229885 255 242 235 255 0.0229885
0.0232558 255 242 235 255 0.0232558
